ObjectName		 ,  PosX ,   Y  ,   Z  ,  RotX ,  Y  ,  Z  , Scale_X ,  Y  ,  Z  , GimmickID , Connector
Passageway		 ,  0000 , 0000 , 0000 ,   000 , 000 , 000 ,     001 , 001 , 001 ,	 000 ,	     000
Player			 ,  0010 , 0008 , -040 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
Box			 ,  0000 , 0005 , -010 ,   000 , 000 , 000 ,     001 , 001 , 001 ,	 000 ,	     000
Box			 ,  0000 , 0020 , 0030 ,   000 , 000 , 000 ,     001 , 001 , 001 ,	 000 ,	     000
Switch			 ,  0000 , 0000 , 0030 ,   000 , 000 , 000 ,     001 , 001 , 001 ,	 001 ,	     000

Stairs			 ,  -060 , 0010 , 0020 ,   000 , 000 , 000 ,     002 , 002 , 002 ,       000 ,	     001
LiftX			 ,  0000 , 0017 , 0030 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 , 	     000
WireMesh		 ,  -090 , 0050 , 0050 ,   000 , -90 , 000 ,     001 , 001 , 001 ,       001 ,	     000
Fence			 ,  -050 , 0020 , 0040 ,   090 , 090 , 000 ,     001 , 001 , 001 ,       000 ,	     000
Fence			 ,  -010 , 0020 , 0000 ,   090 , 180 , 000 ,     001 , 001 , 001 ,       000 ,	     000
Fence			 ,  0070 , 0020 , 0000 ,   090 , 180, 000 ,     001 , 001 , 001 ,       000 ,	     000
//Light			 ,  0020 , 0060 , -030 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
Light			 ,  -010 , 0060 , 0030 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
SurveillanceCamera	 ,  -040 , 0030 , -060 ,   000 , 180 , 000 ,     001 , 001 , 001 ,       000 ,       000
SurveillanceCamera	 ,  0020 , 0030 , -060 ,   000 , 180 , 000 ,     001 , 001 , 001 ,       000 ,       000
