ObjectName		 ,  PosX ,   Y  ,   Z  ,  RotX ,  Y  ,  Z  , Scale_X ,  Y  ,  Z  , GimmickID , Connector
Room2              	 ,  0000 , 0000 , 0000 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
Player			 ,  0000 , 0070 , -038 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
Box			 ,  0000 , 0130 , 0050 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
BreakWall		 ,  0010 , 0070 , 0070 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
Light			 ,  0000 , 0050 , 0030 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
LiftY			 ,  -010 , 0070 , 0070 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 , 	     000



ChainBox		 ,  0000 , 0050 , 0000 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
BreakWall		 ,  0000 , 0004 , 0000 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000


