ObjectName		 ,  PosX ,   Y  ,   Z  ,  RotX ,  Y  ,  Z  , Scale_X ,  Y  ,  Z  , GimmickID , Connector


TutorialRoom		 ,  0000 , 0000 , 0000 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
Player			 ,  0000 , 0008 , -035 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
Switch			 ,  0000 , 0000 , 0010 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       001 ,       000
Stairs			 ,  0000 , -010 , 0040 ,   000 , 000 , 000 ,     004 , 001 , 001 ,       000 ,       001
WireMesh		 ,  0000 , 0040 , 0090 ,   000 , 000 , 000 ,     002 , 002 , 002 ,       000 ,       -01
Box			 ,  -020 , 0005 , -040 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000

Light			 ,  0000 , 0080 , 0020 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000

//SurveillanceCamera	 ,  0030 , 0020 , 0020 ,   000 , 000 , 000 ,     001 , 001 , 001 ,       000 ,       000
//SurveillanceCamera	 ,  0030 , 0020 , -020 ,   000 , 180 , 000 ,     001 , 001 , 001 ,       000 ,       000
SurveillanceCamera	 ,  0040 , 0040 , -020 ,   000 , 090 , 000 ,     001 , 001 , 001 ,       000 ,       000
SurveillanceCamera	 ,  -040 , 0040 , -020 ,   000 , -90 , 000 ,     001 , 001 , 001 ,       000 ,       000

SurveillanceCamera	 ,  0040 , 0040 , 0030 ,   000 , 090 , 000 ,     001 , 001 , 001 ,       000 ,       000
SurveillanceCamera	 ,  -040 , 0040 , 0030 ,   000 , -90 , 000 ,     001 , 001 , 001 ,       000 ,       000
